Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
217;"Муниципальное бюджетное  образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 37""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 37 г. Архангельск;Архангельск;город;;163059, г. Архангельск, ул. Кировская, д. 21
219;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 43""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 43 г. Архангельск;Архангельск;город;;163012, г. Архангельск, Северный территориальный округ, ул. Кировская, д. 12
220;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 45""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 45 г. Архангельск;Архангельск;город;;163071, г. Архангельск, Октябрьский территориальный округ, ул. Садовая, д. 61
221;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 49""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 49 г. Архангельск;Архангельск;город;;163020, г. Архангельск, Соломбальский территориальный округ, просп. Никольский, д. 152
222;"Муниципальное бюджетное  образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 50""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 50 г. Архангельск;Архангельск;город;;163020, г. Архангельск, Соломбальский территориальный округ, ул. Краснофлотская, д. 3
223;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск"" ""Средняя общеобразовательная школа № 51 имени Ф.А. Абрамова""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 51 имени Ф.А. Абрамова г. Архангельск;Архангельск;город;;163059, г. Архангельск, Северный территориальный округ, ул. Малиновского, д. 4
224;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 52""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 52 г. Архангельск;Архангельск;город;;163020, г. Архангельск, ул. Маяковского, д. 41
225;"Муниципальное казенное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 54""";МКОУ;СОО;школа;;;Средняя общеобразовательная школа № 54;Архангельск;город;;163018, г. Архангельск, ул. Луганская, д. 6
226;"муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа №55"" имени А.И.Анощенкова";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №55 имени А.И.Анощенкова г. Архангельск;Архангельск;город;;163025, г. Архангельск, Маймаксанский территориальный округ, ул. Пионерская, д. 82, корп. 1
228;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа №59 имени Героя Советского  Союза М.Е.Родионова""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №59 имени Героя Советского Союза М.Е.Родионова г. Архангельск;Архангельск;город;;163026, г. Архангельск, Маймаксанский территориальный округ, ул. Победы, д. 128, корп. 1
