ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
7;2;97;58.0;0;0.0;80;1;59.0;1;57.0
885;3;98;58.0;0;0.0;125;0;0.0;3;58.0
71;1;99;58.0;0;0.0;200;0;0.0;1;58.0
139;12;100;58.0;0;0.0;15;5;59.0;7;57.0
70;6;101;58.0;0;0.0;201;1;54.0;5;59.0
104;23;102;58.0;1;4.0;214;7;55.0;16;59.0
276;10;103;58.0;0;0.0;71;4;55.0;6;60.0
24;4;104;58.0;0;0.0;17;0;0.0;4;58.0
6;4;105;58.0;0;0.0;133;2;55.0;2;61.0
13;6;106;58.0;0;0.0;151;1;59.0;5;57.0
259;13;107;58.0;1;8.0;228;5;52.0;8;61.0
4;42;108;57.0;0;0.0;29;13;56.0;29;58.0
27;5;109;57.0;0;0.0;94;1;60.0;4;57.0
307;15;110;57.0;0;0.0;91;0;0.0;15;57.0
40;5;111;57.0;0;0.0;178;1;53.0;4;58.0
294;17;112;57.0;0;0.0;58;0;0.0;17;57.0
160;6;113;57.0;0;0.0;24;3;55.0;3;59.0
156;6;114;57.0;0;0.0;163;0;0.0;6;57.0
9;7;115;57.0;0;0.0;184;2;53.0;5;59.0
300;17;116;57.0;0;0.0;86;6;56.0;11;57.0
45;1;117;57.0;0;0.0;175;0;0.0;1;57.0
204;21;118;57.0;0;0.0;190;6;56.0;15;58.0
252;11;119;57.0;1;9.0;236;4;51.0;7;60.0
95;9;120;57.0;0;0.0;148;1;56.0;8;57.0
236;26;121;57.0;0;0.0;169;9;58.0;17;56.0
303;25;122;57.0;0;0.0;89;6;62.0;19;55.0
305;28;123;57.0;1;4.0;212;13;51.0;15;61.0
166;2;124;57.0;0;0.0;16;0;0.0;2;57.0
145;2;125;57.0;0;0.0;128;0;0.0;2;57.0
17;20;126;56.0;1;5.0;219;5;55.0;15;57.0
283;29;127;56.0;2;7.0;225;7;51.0;22;58.0
175;3;128;56.0;0;0.0;121;3;56.0;0;0.0
172;4;129;56.0;0;0.0;122;0;0.0;4;56.0
217;15;130;56.0;0;0.0;2;5;57.0;10;56.0
34;6;131;56.0;0;0.0;110;0;0.0;6;56.0
87;3;132;56.0;0;0.0;33;0;0.0;3;56.0
30;2;133;56.0;0;0.0;107;1;47.0;1;65.0
35;7;134;56.0;0;0.0;109;2;55.0;5;56.0
223;16;135;56.0;0;0.0;113;2;53.0;14;56.0
