ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
223;5;175;41.0;2;40.0;202;1;52.0;4;38.0
68;7;176;40.0;2;29.0;194;3;30.0;4;48.0
134;5;177;40.0;2;40.0;200;3;27.0;2;60.0
25;1;178;40.0;0;0.0;13;1;40.0;0;0.0
241;1;179;40.0;0;0.0;83;0;0.0;1;40.0
224;1;180;40.0;0;0.0;91;1;40.0;0;0.0
157;1;181;40.0;0;0.0;108;0;0.0;1;40.0
156;1;182;40.0;0;0.0;135;0;0.0;1;40.0
263;3;183;40.0;0;0.0;160;2;44.0;1;32.0
248;4;184;40.0;1;25.0;190;3;39.0;1;43.0
377;2;185;40.0;0;0.0;49;2;40.0;0;0.0
33;12;186;39.0;3;25.0;189;3;39.0;9;39.0
193;10;187;39.0;2;20.0;182;8;37.0;2;48.0
225;3;188;38.0;1;33.0;196;2;48.0;1;20.0
209;6;189;38.0;1;17.0;180;3;44.0;3;33.0
54;1;190;38.0;0;0.0;38;1;38.0;0;0.0
416;5;191;37.0;2;40.0;201;4;38.0;1;35.0
51;1;192;37.0;0;0.0;39;0;0.0;1;37.0
409;1;193;37.0;0;0.0;132;0;0.0;1;37.0
381;51;194;37.0;19;37.0;198;14;36.0;37;37.0
2;3;195;36.0;0;0.0;112;2;37.0;1;34.0
357;4;196;36.0;1;25.0;191;1;8.0;3;45.0
291;9;197;35.0;3;33.0;195;2;51.0;7;31.0
115;2;198;35.0;0;0.0;57;1;37.0;1;32.0
127;1;199;34.0;0;0.0;6;0;0.0;1;34.0
39;1;200;34.0;0;0.0;90;0;0.0;1;34.0
164;1;201;34.0;0;0.0;122;1;34.0;0;0.0
386;5;202;33.0;3;60.0;205;3;40.0;2;23.0
29;1;203;32.0;0;0.0;18;1;32.0;0;0.0
46;1;204;32.0;0;0.0;141;1;32.0;0;0.0
388;21;205;32.0;8;38.0;199;8;34.0;13;31.0
133;1;206;28.0;1;100.0;209;0;0.0;1;28.0
273;3;207;27.0;2;67.0;206;1;32.0;2;24.0
290;4;208;26.0;3;75.0;207;0;0.0;4;26.0
369;1;209;23.0;1;100.0;211;0;0.0;1;23.0
213;1;210;18.0;1;100.0;208;0;0.0;1;18.0
417;1;211;18.0;1;100.0;210;1;18.0;0;0.0
31;1;212;15.0;1;100.0;212;0;0.0;1;15.0
