ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
26;24;190;60.0;0;0.0;16;9;56.0;15;63.0
68;55;191;60.0;1;2.0;233;25;56.0;30;64.0
29;38;192;60.0;0;0.0;24;14;56.0;24;63.0
225;19;193;60.0;0;0.0;164;9;65.0;10;56.0
39;12;194;60.0;0;0.0;114;3;50.0;9;64.0
320;9;195;60.0;0;0.0;204;2;67.0;7;58.0
41;55;196;60.0;0;0.0;202;24;56.0;31;63.0
177;38;197;60.0;0;0.0;134;13;60.0;25;60.0
135;18;198;60.0;1;6.0;253;5;52.0;13;63.0
104;55;199;60.0;1;2.0;234;20;55.0;35;63.0
64;6;200;60.0;0;0.0;152;2;50.0;4;65.0
140;80;201;60.0;2;3.0;237;24;54.0;56;63.0
277;15;202;60.0;0;0.0;189;4;56.0;11;61.0
114;27;203;60.0;1;4.0;245;8;50.0;19;64.0
147;5;204;60.0;0;0.0;64;2;63.0;3;58.0
63;10;205;59.0;0;0.0;129;4;52.0;6;64.0
127;6;206;59.0;0;0.0;9;1;63.0;5;58.0
214;24;207;59.0;0;0.0;3;5;65.0;19;57.0
134;33;208;59.0;1;3.0;241;13;54.0;20;63.0
110;5;209;59.0;0;0.0;179;0;0.0;5;59.0
261;27;210;59.0;0;0.0;34;11;54.0;16;62.0
291;35;211;59.0;1;3.0;240;13;56.0;22;61.0
263;26;212;59.0;0;0.0;224;11;52.0;15;64.0
217;37;213;59.0;0;0.0;2;17;60.0;20;58.0
54;24;214;59.0;0;0.0;45;7;50.0;17;62.0
120;45;215;59.0;2;4.0;249;14;52.0;31;61.0
205;27;216;59.0;0;0.0;210;17;57.0;10;61.0
273;13;217;59.0;0;0.0;177;10;57.0;3;63.0
296;25;218;59.0;0;0.0;54;9;55.0;16;60.0
311;10;219;59.0;0;0.0;150;8;52.0;2;84.0
171;10;220;58.0;0;0.0;90;5;55.0;5;62.0
108;5;221;58.0;0;0.0;119;1;50.0;4;60.0
89;5;222;58.0;0;0.0;227;1;58.0;4;58.0
148;8;223;58.0;1;13.0;267;2;56.0;6;59.0
81;25;224;58.0;1;4.0;248;14;53.0;11;64.0
304;22;225;58.0;1;5.0;250;8;55.0;14;59.0
115;9;226;58.0;0;0.0;73;3;53.0;6;60.0
234;16;227;57.0;0;0.0;191;9;55.0;7;61.0
105;17;228;57.0;0;0.0;112;4;55.0;13;58.0
193;23;229;57.0;0;0.0;71;14;54.0;9;62.0
111;112;230;57.0;6;5.0;252;47;51.0;65;61.0
168;7;231;57.0;0;0.0;158;3;47.0;4;65.0
132;12;232;57.0;0;0.0;11;3;49.0;9;60.0
88;12;233;57.0;0;0.0;123;7;58.0;5;56.0
179;5;234;57.0;0;0.0;153;0;0.0;5;57.0
87;13;235;57.0;0;0.0;33;8;51.0;5;66.0
102;26;236;57.0;2;8.0;260;15;49.0;11;66.0
101;9;237;56.0;0;0.0;111;2;54.0;7;57.0
116;9;238;56.0;0;0.0;183;3;51.0;6;59.0
381;265;239;56.0;10;4.0;246;64;52.0;201;58.0
290;35;240;56.0;1;3.0;239;13;53.0;22;57.0
65;8;241;56.0;0;0.0;131;5;52.0;3;63.0
7;6;242;56.0;0;0.0;91;5;51.0;1;79.0
133;44;243;56.0;3;7.0;259;17;50.0;27;60.0
51;18;244;55.0;0;0.0;47;12;55.0;6;57.0
357;16;245;55.0;0;0.0;226;4;54.0;12;56.0
42;21;246;55.0;3;14.0;270;10;53.0;11;57.0
161;3;247;55.0;0;0.0;42;1;48.0;2;59.0
112;15;248;55.0;1;7.0;258;10;55.0;5;55.0
362;14;249;55.0;0;0.0;93;12;56.0;2;45.0
251;51;250;55.0;0;0.0;84;22;52.0;29;56.0
272;32;251;54.0;0;0.0;74;19;53.0;13;56.0
14;15;252;54.0;1;7.0;257;6;53.0;9;55.0
30;6;253;54.0;1;17.0;276;3;47.0;3;62.0
197;24;254;54.0;0;0.0;67;12;52.0;12;56.0
398;1;255;54.0;0;0.0;196;0;0.0;1;54.0
22;8;256;54.0;0;0.0;20;1;51.0;7;54.0
74;9;257;54.0;1;11.0;264;3;44.0;6;59.0
69;7;258;53.0;1;14.0;268;3;47.0;4;58.0
20;15;259;53.0;0;0.0;18;4;52.0;11;53.0
